time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-11T10:36:56.685Z,23.252,121.2992,17.479,5.2,mww,43,89,0.14,0.82,us,us6000leqs,2023-10-12T08:02:20.499Z,"78 km SE of Lugu, Taiwan",earthquake,3.54,3.22,0.098,10,reviewed,us,us
2023-10-11T10:28:52.095Z,18.0038,-105.9386,10,4.2,mb,12,277,4.752,0.74,us,us6000leqr,2023-10-11T10:52:09.040Z,"off the coast of Jalisco, Mexico",earthquake,13.04,2.022,0.112,22,reviewed,us,us
2023-10-11T05:59:24.041Z,34.6763,62.0641,10,4.5,mb,34,143,5.757,1.31,us,us6000leq2,2023-10-11T08:09:35.747Z,"38 km NNW of Herāt, Afghanistan",earthquake,7.16,1.944,0.118,21,reviewed,us,us
2023-10-11T05:47:48.714Z,31.679,-104.43,6.183,2.5,ml(texnet),15,52,0,0.2,tx,tx2023txmw,2023-10-11T12:44:47.699Z,"western Texas",earthquake,1.076222032,0.8785943362,0.1,7,reviewed,tx,tx
2023-10-11T05:29:50.626Z,-19.2331,-69.3973,109.747,4.9,mb,54,99,0.474,1.19,us,us6000lepx,2023-10-12T00:20:20.676Z,"9 km NNE of Camiña, Chile",earthquake,6.43,7.508,0.044,163,reviewed,us,us
2023-10-11T04:40:13.610Z,19.3676666666667,-155.285,1.41,2.52,ml,43,113,,0.12,hv,hv73604377,2023-10-11T04:53:43.120Z,"9 km SSW of Volcano, Hawaii",earthquake,0.16,0.19,0.152879764149289,20,reviewed,hv,hv
2023-10-11T04:37:06.397Z,-20.5357,-173.9981,10,5.1,mb,33,108,0.781,0.93,us,us6000leps,2023-10-11T05:10:34.040Z,"88 km SSE of Pangai, Tonga",earthquake,11.47,1.86,0.104,30,reviewed,us,us
2023-10-11T04:33:11.420Z,44.284,-114.832333333333,5.86,2.67,ml,29,44,0.178,0.25,mb,mb90029433,2023-10-11T15:00:58.530Z,"11 km NE of Stanley, Idaho",earthquake,0.38,0.92,0.266114463111319,33,reviewed,mb,mb
2023-10-11T04:23:09.795Z,37.7828,74.0175,10,4.2,mb,19,153,2.425,0.51,us,us6000lepm,2023-10-11T04:33:40.040Z,"43 km S of Murghob, Tajikistan",earthquake,8.38,1.991,0.306,3,reviewed,us,us
2023-10-11T04:10:35.652Z,-15.9117,-69.6393,229.29,4.8,mb,64,102,1.498,0.98,us,us6000lepk,2023-10-11T04:25:55.040Z,"16 km SSE of Taquile, Peru",earthquake,7.79,2.942,0.026,445,reviewed,us,us
2023-10-11T03:54:56.152Z,-63.8023,172.5028,10,5.5,mb,26,117,14.231,0.97,us,us6000lepj,2023-10-12T04:00:11.783Z,"Balleny Islands region",earthquake,11.18,1.899,0.092,41,reviewed,us,us
2023-10-11T03:42:13.290Z,73.6146,7.7797,10,4.4,mb,20,128,5.421,0.58,us,us6000lepf,2023-10-11T04:00:14.040Z,"Greenland Sea",earthquake,6.77,1.945,0.106,26,reviewed,us,us
